item,serial_number,Model,appraisal_value,item_description,category,remarks
alliance,1129756130,Diverse,34300,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,2,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
bi-directional,9230389994,Re-engineered,18072,proin at turpis a pede posuere nonummy integer non velit,1,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis
reciprocal,7200875791,context-sensitive,30865,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,1,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
Persistent,5265145656,Quality-focused,3742,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,3,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium
fault-tolerant,1969107170,Multi-lateral,22490,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,5,odio consequat varius integer ac leo pellentesque ultrices mattis odio
Mandatory,5066955461,budgetary management,4179,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,1,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
tangible,8475858201,maximized,42873,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,4,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum
Pre-emptive,6968529912,bottom-line,28838,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,5,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
Front-line,8001556646,zero defect,26580,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,2,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
Multi-tiered,2074811101,Multi-tiered,49079,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,3,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
Ergonomic,8576439476,content-based,36872,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,2,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
leading edge,8795130128,clear-thinking,25660,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,1,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
Self-enabling,6554852158,Grass-roots,1863,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis,4,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
Secured,7105038756,array,5533,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,1,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
system-worthy,5008073400,real-time,3375,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
Universal,7232084889,Expanded,8327,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,2,dolor vel est donec odio justo sollicitudin ut suscipit a
Multi-lateral,5614187006,Ergonomic,46706,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,4,orci luctus et ultrices posuere cubilia curae mauris viverra diam
impactful,9524409232,Cloned,47396,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,3,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a
web-enabled,9693928865,task-force,16947,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,2,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
clear-thinking,6294463858,Programmable,38697,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,3,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
De-engineered,6604389855,process improvement,46114,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,1,ante ipsum primis in faucibus orci luctus et ultrices posuere
Advanced,3960630964,modular,1100,in hac habitasse platea dictumst maecenas ut massa quis augue,5,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc
Re-engineered,0234926104,Graphic Interface,13452,nulla tellus in sagittis dui vel nisl duis ac nibh fusce,5,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
matrices,7143882798,analyzer,39437,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,1,consequat lectus in est risus auctor sed tristique in tempus
bandwidth-monitored,8335371245,data-warehouse,42734,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,4,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
Configurable,5454671967,solution,6924,vulputate luctus cum sociis natoque penatibus et magnis dis parturient,4,metus sapien ut nunc vestibulum ante ipsum primis in faucibus
installation,5487806136,application,23357,luctus nec molestie sed justo pellentesque viverra pede ac diam cras,3,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum
firmware,2364346681,full-range,22463,velit vivamus vel nulla eget eros elementum pellentesque quisque porta,5,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
Virtual,5174721395,Graphic Interface,12904,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,5,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
access,9178736102,installation,10166,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,1,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
bi-directional,8397165975,reciprocal,42744,lobortis est phasellus sit amet erat nulla tempus vivamus in,4,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
transitional,0934409404,Face to face,27251,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,1,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
analyzer,9223488702,asymmetric,10276,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,3,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
Proactive,0139923454,benchmark,19919,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,3,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
Progressive,2051666253,Synergistic,24498,mi pede malesuada in imperdiet et commodo vulputate justo in,2,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
installation,3149627206,Proactive,31189,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,4,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis
zero administration,9707178035,toolset,3129,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,2,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
open system,2996548302,benchmark,26007,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,2,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
Monitored,7843353143,Right-sized,25236,in felis eu sapien cursus vestibulum proin eu mi nulla ac,5,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
support,5409277104,help-desk,17851,sed augue aliquam erat volutpat in congue etiam justo etiam,2,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
Front-line,6092155044,Optional,42527,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,2,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
Fully-configurable,7251073471,systemic,2131,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,4,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
emulation,2583668447,Up-sized,37417,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,1,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
empowering,4013127814,data-warehouse,21053,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,2,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
bandwidth-monitored,0833504487,moratorium,48926,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,5,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper
Quality-focused,3694519599,Progressive,19734,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,5,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
Front-line,2266663046,core,13608,odio porttitor id consequat in consequat ut nulla sed accumsan felis,2,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis
interface,7077765172,website,12074,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,1,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
moratorium,1841548162,Grass-roots,37524,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,4,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
contextually-based,6397800962,actuating,34719,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,4,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in
adapter,8760871245,Robust,46762,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
Reactive,4657806327,bifurcated,2696,ut mauris eget massa tempor convallis nulla neque libero convallis eget,3,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio
archive,2102375668,national,28332,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,2,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget
forecast,7473684558,Adaptive,9328,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,1,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
Synergistic,5055109416,Upgradable,18659,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,4,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
bottom-line,6614768018,Seamless,27884,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,2,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
Compatible,8277226055,model,28284,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,3,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
Open-source,9045174316,optimal,22814,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante,3,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis
analyzing,4178669796,portal,35438,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,2,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
local area network,6676064529,workforce,49213,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,4,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi
Open-source,6559618420,Switchable,31431,id massa id nisl venenatis lacinia aenean sit amet justo,5,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede
Seamless,8956565287,Networked,10975,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,4,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
even-keeled,1478611510,system engine,26342,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,1,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet
3rd generation,5747529706,product,13294,curabitur in libero ut massa volutpat convallis morbi odio odio elementum,1,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
Intuitive,6119025413,Automated,22177,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,5,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
